//OPCOS full-build Script, by Spartanjackwar

//======================================================================================================
//Script Syntax Documentation, for your ease.
//======================================================================================================
//Mode number;Modname;ClassName;Display Name;TemplateFileName;Subfolder of \@Modname\Modname_units\;
//Uniforms: 	1;Mod;Class;Display;
//Vests M52A: 	2;Mod;Class;Display;
//Vests M52D: 	3;Mod;Class;Display;
//3den Units: 	4;Mod;Class;Display;Template;Subfolder;
//No existance:	5;
//.ini change: 	6;Section;Child;NewValue;
//Script exec: 	7;Script;
//Reset folder: 8;Mod;

//Note that 5 and 7 are not currently supported as script modes.  5 also doesn't exist yet.

//Important notice!  Make sure every command ends with a semicolon!
//Failure to end commands in semicolons will introduce newline characters into parameters, which is bad.

//======================================================================================================
//Setup for Build
//======================================================================================================
//Empty anything already existing and build folders where necessary.
8;OPCOS;

//Initializing the correct templates, just in case user changed config.ini.
6;Template_File_Names;M52A;M52A_Vests_xxx;
1;OPCOS;Red_Digital;Red Digital;
1;OPCOS;Blue_Digital;Blue Digital;

//======================================================================================================
//M52A Body Armor
//======================================================================================================
//Unsorted
2;OPCOS;Templar;Templar;
2;OPCOS;Red;Red;
2;OPCOS;Blue;Blue;
2;OPCOS;Police;Police;
2;OPCOS;DoCS;DoCS;

//Memes
2;OPCOS;Banana;Banana? Bloody hell...;
2;OPCOS;Headpat;Headpat;
2;OPCOS;Pantycam;Pantycam;
2;OPCOS;Rattlepat;Rattlepat;

//Woodland
2;OPCOS;ATACS_TDX;ATACS_TDX;
2;OPCOS;ERDLH;ERDL-Highland;
2;OPCOS;ERDLL;ERDL-Lowland;
2;OPCOS;MitchellPattern;Mitchell Pattern;
2;OPCOS;TigerStripe;TigerStripe;
2;OPCOS;Flecktarn;Flecktarn;
2;OPCOS;CTRG_WDL;CTRG Tropic;

//Desert
2;OPCOS;AOR1;AOR1;
2;OPCOS;ChocolateChip;ChocolateChip;
2;OPCOS;DCU;DCU;
2;OPCOS;DDPM;DDPM;
2;OPCOS;CTRG_DES;CTRG Arid;

//Multipurpose
2;OPCOS;UCP;UCP;
2;OPCOS;Erbsenmuster;Erbsenmuster;
2;OPCOS;H2ODST;Halo 2 ODST;
2;OPCOS;CTRG_URB;CTRG Urban;
2;OPCOS;Multicam;Multicam;
2;OPCOS;Red_Digital;Red Digital;
2;OPCOS;Blue_Digital;Blue Digital;

//======================================================================================================
//M52D Body Armor
//======================================================================================================
//Memes
3;OPCOS;Banana;Banana? Bloody hell...;
3;OPCOS;Rattlepat;Rattlepat;

//Woodland
3;OPCOS;ERDLL;ERDL-Lowland;
3;OPCOS;ERDLH;ERDL-Highland;
3;OPCOS;CTRG_WDL;CTRG Tropic;

//Desert
3;OPCOS;ChocolateChip;Chocolate Chip;
3;OPCOS;DCU;DCU;
3;OPCOS;CTRG_DES;CTRG Arid;

//Multipurpose
3;OPCOS;UCP;UCP;
3;OPCOS;CTRG_URB;CTRG Urban;
3;OPCOS;multicam;Multicam;
3;OPCOS;Red_Digital;Red Digital;
3;OPCOS;Blue_Digital;Blue Digital;

//======================================================================================================
//UNSC Army Units
//======================================================================================================
//Memes
4;OPCOS;Banana;Banana? Bloody hell...;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;Headpat;Headpat;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;Pantycam;Pantycam;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;Rattlepat;Rattlepat;UNSC_Men_Army_xxx;Army;
4;OPCOS;ahegaopat;Ahegaopat;UNSC_Men_Army_CBU_SNO_xxx;Army;

//Woodland
4;OPCOS;ATACS_TDX;ATACS_TDX;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;ERDLH;ERDL-Highland;UNSC_Men_Army_xxx;Army;
4;OPCOS;ERDLL;ERDL-Lowland;UNSC_Men_Army_xxx;Army;
4;OPCOS;MARPATw;MARPAT Woodland;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;MitchellPattern;Mitchell Pattern;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;TigerStripe;TigerStripe;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;Flecktarn;Flecktarn;UNSC_Men_Army_CBU_WDL_xxx;Army;
4;OPCOS;CTRG_WDL;CTRG Tropic;UNSC_Men_Army_xxx_Crew;Army;

//Desert
4;OPCOS;AOR1;AOR1;UNSC_Men_Army_CBU_DES_xxx;Army;
4;OPCOS;ChocolateChip;Chocolate Chip;UNSC_Men_Army_xxx;Army;
4;OPCOS;DCU;DCU;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;DDPM;DDPM;UNSC_Men_Army_CBU_DES_xxx;Army;
4;OPCOS;CTRG_DES;CTRG Arid;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;MARPATd;MARPAT Desert;UNSC_Men_Army_CBU_DES_xxx;Army;

//Multipurpose
4;OPCOS;UCP;UCP;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;Erbsenmuster;Erbsenmuster;UNSC_Men_Army_CBU_URB_xxx;Army;
4;OPCOS;H2ODST;Halo 2 ODST;UNSC_Men_Army_CBU_URB_xxx;Army;
4;OPCOS;CTRG_URB;CTRG Urban;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;Multicam;Multicam;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;Red_Digital;Red Digital;UNSC_Men_Army_xxx_Crew;Army;
4;OPCOS;Blue_Digital;Blue Digital;UNSC_Men_Army_xxx_Crew;Army;

//======================================================================================================
//UNSC ODST Units
//======================================================================================================
//Memes
4;OPCOS;Banana;Banana? Bloody hell...;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;Rattlepat;Rattlepat;UNSC_Men_ODST_xxx;ODST;

//Woodland
4;OPCOS;ERDLH;ERDL-Highland;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;ERDLL;ERDL-Lowland;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;CTRG_WDL;CTRG Tropic;UNSC_Men_ODST_xxx;ODST;

//Desert
4;OPCOS;ChocolateChip;Chocolate Chip;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;DCU;DCU;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;CTRG_DES;CTRG Arid;UNSC_Men_ODST_xxx;ODST;

//Multipurpose
4;OPCOS;UCP;UCP;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;CTRG_URB;CTRG Urban;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;Multicam;Multicam;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;Red_Digital;Red Digital;UNSC_Men_ODST_xxx;ODST;
4;OPCOS;Blue_Digital;Blue Digital;UNSC_Men_ODST_xxx;ODST;
